x_value,total_1,total_2
0,1000,1000
1,1006,995
2,1009,995
3,1006,998
4,1001,996
5,995,1000
6,1001,1001
7,1009,1002
8,1003,998
9,998,1004
10,1005,999
11,1011,1003
12,1017,1006
13,1017,1004
14,1024,1010
15,1022,1016
16,1025,1017
17,1021,1017
18,1017,1023
19,1011,1018
20,1014,1021
21,1020,1027
22,1027,1023
23,1026,1023
24,1032,1026
25,1036,1026
26,1033,1021
27,1040,1022
28,1045,1019
29,1053,1016
30,1060,1016
31,1055,1015
32,1061,1014
33,1065,1017
34,1060,1021
35,1055,1026
36,1056,1025
37,1051,1026
38,1049,1027
39,1050,1032
40,1044,1032
41,1050,1037
42,1049,1032
43,1050,1028
44,1052,1030
45,1055,1035
46,1057,1040
47,1058,1036
48,1066,1034
49,1073,1039
50,1067,1035
51,1069,1030
52,1076,1032
53,1073,1032
54,1074,1030
55,1073,1027
56,1068,1030
57,1069,1032
58,1063,1035
59,1058,1036
60,1065,1038
61,1067,1042
62,1068,1042
63,1068,1046
64,1076,1049
65,1080,1055
66,1085,1055
67,1092,1053
68,1093,1054
69,1101,1058
70,1107,1060
71,1105,1065
72,1101,1061
73,1099,1062
74,1095,1063
75,1091,1063
76,1092,1060
77,1099,1063
78,1095,1063
79,1091,1058
80,1097,1056
81,1095,1058
82,1100,1060
83,1096,1063
84,1090,1067
85,1084,1062
86,1092,1068
87,1098,1063
88,1101,1068
89,1108,1073
90,1108,1073
91,1102,1072
92,1099,1072
93,1101,1068
94,1108,1069
95,1106,1065
96,1103,1060
97,1100,1064
98,1097,1069
99,1098,1064
100,1101,1069
101,1096,1064
102,1103,1068
103,1101,1068
104,1100,1064
105,1095,1066
106,1089,1069
107,1097,1075
108,1093,1073
109,1092,1070
110,1097,1074
111,1091,1074
112,1095,1078
113,1103,1074
114,1104,1078
115,1099,1080
116,1106,1076
117,1106,1082
118,1104,1088
